,ABT,ABBV,ABMD,ACN
2020-01-21,-0.027000650618087096,0.005025699600228473,0.01015957446808513,-0.004900561423541783
2020-01-17,-0.008135517664103475,0.00011364927832713256,-0.045442578063293104,0.0002390628735355893
2020-01-16,-0.008089887640449378,0.014318181818181897,0.0008826125330978485,-0.0010516252390057046
2020-01-15,-0.010194834617127335,0.0,-0.01940035273368612,-0.008230452674897082
2020-01-14,-0.018768596932936643,-0.01187542012099485,-0.0291704136690647,0.00226768310334835
2020-01-13,-0.007231163984138034,0.0036281179138322184,-0.02680483992358018,0.00895393058296845
2020-01-10,0.0028195488721804995,0.006100316312697807,0.12468768590124935,-0.00920845460184172
2020-01-09,0.012652296157450671,0.012912643161913318,-0.028879720723579805,-0.007271501492824739
2020-01-08,-0.002660805182785775,-0.007648819421350206,-0.026742919389978193,-0.008828522920203752
2020-01-07,-0.00405985384526153,-0.007037533512064265,0.009289831551849481,-0.0019576175794059347
2020-01-06,0.005590496156533842,0.005737428282146517,-0.007263654006099296,0.022066395331731492
2020-01-03,-0.005211952744961779,-0.007829977628635354,-0.06825290437890974,0.006572950151129797
2020-01-02,0.012341366864594194,0.009582863585118284,0.011929025296727014,0.0016682554814109185
2019-12-31,-0.0010350776308223342,-0.011278615298715655,0.01054439902849369,0.00199857244825119
2019-12-30,-0.0006907667510936966,-0.00022588660492439683,-0.019344627469371045,0.0003324310205632397
2019-12-27,0.00691244239631339,0.007681879801174851,0.011835734353518035,0.0075009494872768645
2019-12-26,-0.0013729977116705427,0.007062780269058155,0.01027943522183472,-0.0008010555084345672
2019-12-24,0.0,0.00022264276967609575,0.007543418513537237,-0.002074982315491636
2019-12-23,0.0008020164986251022,0.004451864218141477,-0.010795124782356447,-0.0036860261802372785
2019-12-20,-0.00789925586720086,-0.010637119113573346,-0.04429711335367292,0.001280652658540049
2019-12-19,0.007962150934687218,-0.005823720461417992,0.04014979433973864,-0.013263855992420526
2019-12-18,-0.004808242701774379,0.006308437535203382,0.04473823998111315,-0.012193951032165251
2019-12-17,0.0014954561141147238,0.008395835665509832,0.010846844811027712,-0.011469673405909764
2019-12-16,-0.007580978635423841,-0.007215808170515037,-0.014642597663890977,0.007866273352999054
2019-12-13,-0.0005787037037038312,-0.01777926870177793,0.03142192728716453,0.008097560975609763
2019-12-12,-0.004400694846554698,0.010132058287795953,-0.014847401704701668,-0.01325849220942621
2019-12-11,-0.012329882517157165,-0.02287839513129719,-0.0015629360870779152,-0.00794429187916823
2019-12-10,-0.004122011541632276,-0.0016147635524798032,0.004919774137641886,-0.0020761245674740803
2019-12-09,-0.00815988647114474,-0.0013863216266174483,0.01079276773296245,0.000743015652863166
2019-12-06,0.019196375342792393,0.006247107820453568,0.04144421817381261,0.00257387516705454
