PERMNO,TICKER,COMNAM,PERMCO,gvkey
23229,CMS,C M S ENERGY CORP,20361,3439
23393,CHD,CHURCH & DWIGHT INC,1103,3026
23473,CINF,CINCINNATI FINANCIAL CORP,912,14824
23536,WEC,W E C ENERGY GROUP INC,21931,11550
23579,TXT,TEXTRON INC,21743,10519
23660,CTAS,CINTAS CORP,6304,3062
23712,PEG,PUBLIC SERVICE ENTERPRISE GP INC,21458,8810
23819,HAL,HALLIBURTON COMPANY,20868,5439
23931,XEL,X C E L ENERGY INC,21300,7977
24010,ETR,ENTERGY CORP NEW,21201,7366
24053,EVRG,EVERGY INC,21035,6338
24109,AEP,AMERICAN ELECTRIC POWER CO INC,20077,1440
24205,NEE,NEXTERA ENERGY INC,20684,4517
24643,ARNC,ARCONIC INC,20060,28192
24766,NOC,NORTHROP GRUMMAN CORP,21303,7985
24942,RTN,RAYTHEON CO,21492,8972
24985,AEE,AMEREN CORP,21808,10860
25081,CMA,COMERICA INC,1261,3231
25232,OKE,ONEOK INC NEW,21332,8151
25320,CPB,CAMPBELL SOUP CO,20384,2663
25419,WHR,WHIRLPOOL CORP,21916,11465
25785,F,FORD MOTOR CO DEL,20750,4839
25953,DOV,DOVER CORP,20596,4058
26403,DIS,DISNEY WALT CO,20587,3980
26607,BH,BIGLARI HOLDINGS INC,4255,3424
26710,L,LOEWS CORP,21111,6781
26825,K,KELLOGG CO,21041,6375
27043,VAR,VARIAN MEDICAL SYSTEMS INC,21859,11115
27828,HPQ,H P INC,20908,5606
27887,BAX,BAXTER INTERNATIONAL INC,20277,2086
27959,DUK,DUKE ENERGY CORP NEW,20608,4093
27983,XRX,XEROX CORP,21945,11636
27991,PNW,PINNACLE WEST CAPITAL CORP,21409,1075
28222,APD,AIR PRODUCTS & CHEMICALS INC,20030,1209
28388,VNO,VORNADO REALTY TRUST,21874,11220
28484,HES,HESS CORP,20064,1380
28804,ALK,ALASKA AIRGROUP INC,20035,1230
30681,OMC,OMNICOM GROUP INC,1367,4066
30940,FLS,FLOWSERVE CORP,1425,4108
32707,HP,HELMERICH & PAYNE INC,20902,5581
32803,HFC,HOLLYFRONTIER CORP,20922,5667
32870,HRL,HORMEL FOODS CORP,20932,5709
32986,ATO,ATMOS ENERGY CORP,6748,4383
34032,MAS,MASCO CORP,21161,7085
34746,FITB,FIFTH THIRD BANCORP,1741,4640
34817,NUE,NUCOR CORP,21308,8030
34833,OXY,OCCIDENTAL PETROLEUM CORP,21322,8068
35044,RF,REGIONS FINANCIAL CORP NEW,1620,4674
35554,MTB,M & T BANK CORP,1689,4699
36003,ROL,ROLLINS INC,21530,9225
36468,SHW,SHERWIN WILLIAMS CO,21609,9667
37584,BEN,FRANKLIN RESOURCES INC,6407,4885
38093,AJG,GALLAGHER ARTHUR J & CO,7094,4973
38156,WMB,WILLIAMS COS,21923,11506
38703,WFC,WELLS FARGO & CO NEW,21305,8007
38762,NI,NISOURCE INC,21244,7974
39490,APA,APACHE CORP,20204,1678
39642,BDX,BECTON DICKINSON & CO,20284,2111
39917,WY,WEYERHAEUSER CO,21914,11456
40125,DXC,D X C TECHNOLOGY CO,20493,3336
40272,IFF,INTERNATIONAL FLAVORS & FRAG INC,20991,6078
40539,TJX,T J X COMPANIES INC NEW,21949,11672
41080,CMI,CUMMINS INC,20543,3650
41355,PH,PARKER HANNIFIN CORP,21367,8358
42200,PKI,PERKINELMER INC,20616,4145
42585,SJM,SMUCKER J M CO,21629,9777
42877,JBHT,HUNT J B TRANSPORT SERVICES INC,6606,5783
